Tijdstempel,Welk OS (Operating System) gebruik je op je computer?,,Welke browser gebruik jij het meest op je computer? ,,Waarom gebruik je deze browser op je computer? ,,Hoe tevreden ben je met de browser die je gebruikt op je computer? ,,Wat voor een telefoon heb je?,,Welke browser gebruik jij het meest op je telefoon? ,,"Hoe belangrijk zijn de volgende factoren bij je keuze voor een browser? (Schaal van 1-5: 1 = helemaal niet belangrijk, 5 = zeer belangrijk)",,Hoe eenvoudig vind je het om instellingen te wijzigen in je huidige browser? ,,Hoe makkelijk vind je het om nieuwe extensies of add-ons te installeren in je browser? ,,Hoe tevreden ben je met de design en het ontwerp van je huidige browser? ,,Hoe tevreden ben je met de design en het ontwerp van je huidige browser? , ,Welke functies van je browser vind je het meest gebruiksvriendelijk?,,Wat vind je het minst fijne aan je browser?,Hoe vaak merkt u verschillen in laadtijden van webpagina's tussen verschillende webbrowsers?,Welke browser ervaart u als het snelst qua renderingssnelheid (het weergeven van de inhoud van een webpagina)?,In hoeverre beïnvloeden de laadtijden van webpagina's uw keuze voor een webbrowser?,"Hoe belangrijk vindt u het efficiënt gebruik van systeembronnen (CPU-gebruik, RAM-gebruik) door een webbrowser?",Heeft u gemerkt dat bepaalde webbrowsers uw systeem significant vertragen of veel geheugen gebruiken?,Hoe belangrijk vindt u de beschikbaarheid van plug-ins voor uw webbrowser?,Welke browser gebruikt u voornamelijk vanwege de beschikbaarheid van specifieke plug-ins of extensies?,"Hoe vaak maakt u gebruik van ingebouwde functies (zoals adblockers, vertaaltools, wachtwoordmanagers) van uw webbrowser?",Hoe tevreden bent u met de effectiviteit van de ingebouwde functies van uw huidige webbrowser?,Heeft de beschikbaarheid van ingebouwde functies invloed op uw keuze van webbrowser?,Kunt u een voorbeeld geven van een specifieke plug-in of ingebouwde functie die uw gebruikerservaring aanzienlijk verbetert?,,Doet u een opleiding in de ICT
2024/06/10 9:27:11 p.m. EEST,MAC OS,,Arc,,Gebruiksvriendelijkheid,,Zeer tevreden,,Apple,,Arc,,Gebruiksvriendelijkheid,,Zeer eenvoudig,,Erg makkelijk,,Zeer ontevreden,,Zeer ontevreden,,De sneltoetsen,,Privacy beheer,Nooit,Google Chrome,Helemaal niet belangrijk,Helemaal niet belangrijk,"Nee, zelden",Zeer belangrijk,Chromium,Zelden,Tevreden,Neutraal,De multitasking functionaliteit ,,Ja
2024/06/10 9:27:59 p.m. EEST,Windows,,DuckDuckGo,,Beveiliging,,Tevreden,,Andriod,,Google Chrome,,Beveiliging,,Eenvoudig,,Makkelijk,,Neutraal,,Neutraal,,Gebruik van extensies/add-ons,,nvt,Nooit,Google Chrome,Neutraal,Zeer belangrijk,"Ja, vaak",Neutraal,Google Chrome,Zeer vaak,Tevreden,Neutraal,Adblockers. Als je een website echt wil supporten dan kan je op dit site op pauze zetten.,,Ja
2024/06/10 9:28:39 p.m. EEST,Linux,,Mozilla Firefox,,Beveiliging,,Zeer tevreden,,Andriod,,Brave,,Privacy instellingen,,Eenvoudig,,Erg makkelijk,,Zeer tevreden,,Zeer tevreden,,Gebruik van extensies/add-ons,,Tab beheer,Soms,Mozilla Firefox,Belangrijk,Zeer belangrijk,"Ja, vaak",Zeer belangrijk,Mozilla Firefox,Soms,Tevreden,Veel,uBlock Origin,,Ja
2024/06/10 9:29:06 p.m. EEST,Windows,,Arc,,Ontwerp van de browser,,Zeer tevreden,,Apple,,Arc,,Gebruiksvriendelijkheid,,Eenvoudig,,Erg makkelijk,,Zeer tevreden,,Zeer tevreden,,Tab beheer,,De sneltoetsen,Zelden,Arc,Belangrijk,Neutraal,"Nee, zelden",Belangrijk,Arc,Soms,Neutraal,Weinig,"Automatisch watchwoord invullen, adblock",,Nee
2024/06/10 9:29:15 p.m. EEST,Windows,,Microsoft Edge,,Snelheid,,Zeer ontevreden,,Andriod,,Google Chrome,,Snelheid,,Zeer eenvoudig,,Erg makkelijk,,Tevreden,,Tevreden,,Tab beheer,,Dat het nog steeds op Chrome draaid,Zeer vaak,Microsoft Edge,Zeer belangrijk,Zeer belangrijk,"Ja, vaak",Neutraal,Microsoft Edge,Soms,zeer tevreden,Neutraal,"In Edge heb je een ""efficiency mode""",,Ja;Nee
2024/06/10 9:31:01 p.m. EEST,Windows,,Opera,,Ontwerp van de browser,,Tevreden,,Andriod,,Google Chrome,,Beveiliging,,Zeer eenvoudig,,Erg makkelijk,,Zeer tevreden,,Tevreden,,De zoekbalk/adresbalk (de urlbalk),,Tab beheer,Zelden,Google Chrome,Neutraal,Helemaal niet belangrijk,"Ja, soms",Helemaal niet belangrijk,Opera gx,Zeer vaak,Ontevreden,Weinig,Ad Block ,,Ja
2024/06/10 9:32:55 p.m. EEST,Windows,,Mozilla Firefox,,Ontwerp van de browser,,Ontevreden,,Andriod,,Samsung Internet,,Beveiliging,,Eenvoudig,,Erg makkelijk,,Neutraal,,Neutraal,,Instellingen beheer,,De sneltoetsen,Zeer vaak,Google Chrome,Belangrijk,Helemaal niet belangrijk,"Ja, soms",Helemaal niet belangrijk,Mozilla Firefox,Vaak,Neutraal,Heel veel,Ad-Blocker,,Ja
2024/06/10 9:33:49 p.m. EEST,Windows,,Google Chrome,,Gebruiksvriendelijkheid,,Tevreden,,Apple,,Safari,,Gebruiksvriendelijkheid,,Eenvoudig,,Makkelijk,,Neutraal,,Neutraal,,De zoekbalk/adresbalk (de urlbalk),,De sneltoetsen,Zelden,Google Chrome,Onbelangrijk,Neutraal,"Nee, nooit",Neutraal,Google Chrome,Zeer vaak,Tevreden,Weinig,ad blocker,,Ja
2024/06/10 9:34:58 p.m. EEST,Windows,,Firefox met duckduckgo,,privacy,,Tevreden,,Andriod,,DuckDuckGo,,Privacy instellingen,,Eenvoudig,,Erg makkelijk,,Tevreden,,Tevreden,,no,,no,Nooit,Google Chrome,Belangrijk,Neutraal,"Ja, soms",Zeer belangrijk,Mozilla Firefox,Nooit,Neutraal,Heel weinig,ublock origin,,Ja;Nee
2024/06/10 9:39:14 p.m. EEST,Windows,,Opera GX,,Alle,,Zeer tevreden,,Andriod,,Google Chrome,,Gebruiksvriendelijkheid,,Zeer eenvoudig,,Erg makkelijk,,Zeer tevreden,,Zeer tevreden,,Alle,,Niks,Nooit,Maakt niks uit,Helemaal niet belangrijk,Helemaal niet belangrijk,"Nee, nooit",Helemaal niet belangrijk,Opera GX,Zeer vaak,zeer tevreden,Helemaal niet,De Rickroll-blocker extensie heeft mijn leven significant verbeterd,,Ja
2024/06/10 10:08:19 p.m. EEST,Windows,,DuckDuckGo,,Privacy,,Tevreden,,Apple,,Safari,,Privacy instellingen,,Eenvoudig,,Makkelijk,,Neutraal,,Neutraal,,De zoekbalk/adresbalk (de urlbalk),,Instellingen beheer,Zelden,Apple Safari,Neutraal,Neutraal,"Nee, zelden",Neutraal,.,Soms,Neutraal,Weinig,Cookiesblocker,,Ja
2024/06/10 10:16:12 p.m. EEST,Windows,,opera gx,,veel fijne funcities,,Tevreden,,Andriod,,samsung internet,,Snelheid,,Eenvoudig,,Erg makkelijk,,Tevreden,,Neutraal,,Tab beheer,,Instellingen beheer,Zelden,Mozilla Firefox,Belangrijk,Zeer belangrijk,"Ja, soms",Zeer belangrijk,"opera gx, heeft ook toegang tot chrome plug-ins",Zeer vaak,Tevreden,Veel,"vpn, meerdere zij tabs open en ingebouwd whatssap en discord",,Ja
2024/06/11 9:38:53 a.m. EEST,Windows,,Google Chrome,,Ik ben deze gewend en te autistisch om te veranderen,,Neutraal,,Apple,,Safari,,Gebruiksvriendelijkheid,,Eenvoudig,,Makkelijk,,Neutraal,,Neutraal,,De sneltoetsen,,Privacy beheer,Zelden,Google Chrome,Neutraal,Neutraal,"Nee, zelden",Neutraal,Google Chrome,Vaak,Neutraal,Neutraal,ad blocker,,Ja
2024/06/11 9:47:57 a.m. EEST,Windows,,Google Chrome,,Beveiliging,,Neutraal,,Andriod,,Google Chrome,,Beveiliging,,Onhandig,,Moeilijk,,Neutraal,,Neutraal,,Privacy beheer,,Privacy beheer,Vaak,Google Chrome,Belangrijk,Neutraal,"Ja, soms",Neutraal,Google Chrome,Vaak,Ontevreden,Neutraal,De incognito tabs,,Ja
2024/06/11 9:57:58 a.m. EEST,MAC OS,,Arc,,Ontwerp van de browser,,Tevreden,,Apple,,Mozilla Firefox,,Privacy instellingen,,Zeer eenvoudig,,Erg makkelijk,,Tevreden,,Tevreden,,De zoekbalk/adresbalk (de urlbalk),,Tab beheer,Nooit,Chromium,Neutraal,Belangrijk,"Ja, soms",Belangrijk,Thorium,Zeer vaak,zeer tevreden,Heel veel,Vue.js extensie,,Ja
2024/06/14 5:20:24 p.m. EEST,Windows,,Google Chrome,,Gewenning,,Zeer tevreden,,Apple,,Safari,,Snelheid,,Eenvoudig,,Erg makkelijk,,Zeer tevreden,,Zeer tevreden,,Tab beheer,,"Kan soms veel resources gebruiken, maar gelukkig heb ik ook veel resources",Nooit,Google Chrome,Neutraal,Helemaal niet belangrijk,"Nee, nooit",Helemaal niet belangrijk,Google Chrome,Nooit,Neutraal,Helemaal niet,-,,Ja
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welk OS (Operating System) gebruik je op je computer?,,Welke browser gebruik jij het meest op je computer?,,Waarom gebruik je deze browser op je computer? ,,Hoe tevreden ben je met de browser die je gebruikt op je computer? ,,Wat voor een telefoon heb je?,,Welke browser gebruik jij het meest op je telefoon? ,,"Hoe belangrijk zijn de volgende factoren bij je keuze voor een browser? (Schaal van 1-5: 1 = helemaal niet belangrijk, 5 = zeer belangrijk)",,Hoe eenvoudig vind je het om instellingen te wijzigen in je huidige browser? ,,Hoe makkelijk vind je het om nieuwe extensies of add-ons te installeren in je browser? ,,Hoe tevreden ben je met de design en het ontwerp van je huidige browser? ,,Hoe tevreden ben je met de design en het ontwerp van je huidige browser? ,,Welke functies van je browser vind je het meest gebruiksvriendelijk?,,Wat vind je het minst fijne aan je browser?,Hoe vaak merkt u verschillen in laadtijden van webpagina's tussen verschillende webbrowsers?,Welke browser ervaart u als het snelst qua renderingssnelheid (het weergeven van de inhoud van een webpagina)?,In hoeverre beïnvloeden de laadtijden van webpagina's uw keuze voor een webbrowser?,"Hoe belangrijk vindt u het efficiënt gebruik van systeembronnen (CPU-gebruik, RAM-gebruik) door een webbrowser?",Heeft u gemerkt dat bepaalde webbrowsers uw systeem significant vertragen of veel geheugen gebruiken?,Hoe belangrijk vindt u de beschikbaarheid van plug-ins voor uw webbrowser?,Welke browser gebruikt u voornamelijk vanwege de beschikbaarheid van specifieke plug-ins of extensies?,"Hoe vaak maakt u gebruik van ingebouwde functies (zoals adblockers, vertaaltools, wachtwoordmanagers) van uw webbrowser?",Hoe tevreden bent u met de effectiviteit van de ingebouwde functies van uw huidige webbrowser?,Heeft de beschikbaarheid van ingebouwde functies invloed op uw keuze van webbrowser?,Kunt u een voorbeeld geven van een specifieke plug-in of ingebouwde functie die uw gebruikerservaring aanzienlijk verbetert?,,Doet u een opleiding in de ICT
Windows,13,Arc,3,,,,,Apple,7,Mozilla Firefox,1,Snelheid,3,Zeer eenvoudig,5,Erg makkelijk,11,Zeer ontevreden,1,Zeer ontevreden,1,De zoekbalk/adresbalk (de urlbalk),4,De zoekbalk/adresbalk (de urlbalk),0,,,,,,,,,,,,Ja,13
MAC OS,2,Mozilla Firefox,3,Beveiliging,3,Zeer ontevreden,1,Andriod,9,Microsoft Edge,0,Beveiliging,4,Eenvoudig,10,Makkelijk,4,Ontevreden,0,Ontevreden,0,Tab beheer,4,Tab beheer,3,,,,,,,,,,,,Nee,1
Linux,1,Microsoft Edge,1,Ontwerp van de browser,4,Ontevreden,1,,,Google Chrome,5,Gebruiksvriendelijkheid,5,Onhandig,1,Moeilijk,1,Neutraal,6,Neutraal,7,Gebruik van extensies/add-ons,2,Gebruik van extensies/add-ons,0,,,,,,,,,,,,,
,,Google Chrome,4,Snelheid,1,Neutraal,2,,,Safari,4,Instellingen veranderen,0,Erg onhandig,0,Erg moeilijk,0,Tevreden,4,Tevreden,4,De sneltoetsen,2,De sneltoetsen,3,,,,,,,,,,,,,
,,Safari,0,Gebruiksvriendelijkheid,2,Tevreden,7,,,Internet Explorer,0,Privacy instellingen,4,,,,,Zeer tevreden,5,Zeer tevreden,4,Instellingen beheer,1,Instellingen beheer,2,,,,,,,,,,,,,
,,Internet Explorer,0,Privacy,2,Zeer tevreden,5,,,Opera,0,,,,,,,,,,,Privacy beheer,1,Privacy beheer,3,,,,,,,,,,,,,
,,Opera,3,,,,,,,Brave,1,,,,,,,,,,,,,Niks,3,,,,,,,,,,,,,
,,Brave,0,,,,,,,DuckDuckGo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DuckDuckGo,2,,,,,,,Arc,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Samsung Internet,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
